Seed,RMSE,RMSE_STD,Kendall,Kendall_STD,R2,R2_STD,Pearson,Pearson_STD
6,0.4815,0.0078,0.4952,0.0157,0.4887 ,0.0102,0.7034,0.0064
0,0.4830,0.0134,0.4931,0.0134,0.4850 ,0.0299,0.7028,0.0188
3,0.4803,0.0105,0.4992,0.0068,0.4912 ,0.0174,0.7050,0.0120
7,0.4826,0.0095,0.4937,0.0102,0.4864 ,0.0121,0.7012,0.0091
20,0.4836,0.0130,0.4958,0.0123,0.4841 ,0.0213,0.6996,0.0156
35,0.4846,0.0122,0.4931,0.0105,0.4818 ,0.0259,0.6971,0.0178
29,0.4782,0.0073,0.5014,0.0091,0.4957 ,0.0058,0.7074,0.0047
27,0.4775,0.0083,0.5017,0.0089,0.4972 ,0.0095,0.7091,0.0070
17,0.4796,0.0103,0.4977,0.0043,0.4926 ,0.0182,0.7063,0.0107
42,0.4805,0.0092,0.4943,0.0134,0.4906 ,0.0234,0.7047,0.0154
Average,0.4811,0.0102,0.4965,0.0105,0.4893 ,0.0174,0.7037,0.0118
